,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
said,0.21726957,0.37266868,0.09966278,-0.0041909805,-0.07108434,-0.063144155,-0.109277375,-0.12601493,-0.049057197,0.19136967,0.15681642,0.17649415,-0.21267238,0.07202234,-0.01264902,0.046018615,-0.25450042,0.16959296,0.12566078,-0.069305174,0.040087223,0.027761642,0.086826615,0.24386707,-0.09513383,0.1783404,-0.31717238,-0.09855207,0.11889389,0.019774886,0.13647567,0.025271779,-0.16389903,-0.017716732,-0.035358477,0.036538597,-0.101449564,-0.0001633976,0.15485872,0.023138296,-0.057637107,-0.0452515,-0.13621983,0.4079516,0.043397665,0.06322717,0.12700972,-0.4063819,0.15257385,-0.5202988,-0.13664259,0.70529777,-0.1126321,-0.13515745,0.078335166,-0.40569925,0.03660254,-0.10717564,-0.02259388,0.02328566,-0.03291337,0.15508045,0.57019305,0.047006946,-0.14574231,0.007947395,-0.05889993,0.061466876,0.009064145,-0.029153861,0.091361634,0.021452911,0.18270114,-0.08125327,0.0626419,-0.02881874,-0.11289977,-0.023112144,0.5094982,0.064847164,-0.062159844,-0.22542426,-0.14868034,-0.04214915,0.36171582,0.1063706,-0.013994259,0.12037799,0.109055184,0.021482175,0.12304991,0.02668879,-0.09241132,0.3863391,-0.029399062,-0.026611831,-0.18185025,0.05557286,0.23983261,-0.19718964
alice,-0.31681028,-0.06988211,-0.36550948,0.013681096,0.20452553,-0.0020528515,-0.15017165,0.017993601,-0.026939932,0.063613266,-0.09419143,-0.1933502,0.4828952,-0.08895335,-0.07214817,0.007216423,0.018989725,-0.028163705,0.121632904,-0.09160494,0.054807514,-0.07198619,0.29076394,0.17004275,-0.092181526,-0.09571155,0.34483832,0.032924797,0.023042852,-0.0034983337,-0.060511034,0.097758636,-0.09613447,-0.008253535,-0.055106584,-0.21397215,0.13540347,0.097081125,-0.04311452,0.16069278,-0.32467288,0.031095386,0.025787985,0.26926297,0.09734939,0.048456687,0.017448124,0.25583544,-0.46173072,0.21609244,0.14249462,0.20000134,-0.055633,-0.008661978,0.026536528,0.0055939034,0.15390214,-0.087977394,0.08975323,-0.24754868,0.0448431,-0.47213495,-0.31229123,0.038089946,-0.011212114,-0.10265609,-0.08823839,-0.05803636,0.030676486,-0.102076724,0.20405617,0.09662249,-0.08691094,-0.12669086,0.11061117,0.039150793,-0.15964681,-0.05045439,0.23730636,-0.18267997,-0.14116687,-0.10758008,0.21110368,-0.056809165,0.28539923,-0.04935631,-0.00038790808,-0.06449672,-0.045378987,0.05811855,0.13122506,0.10213892,-0.054884337,-0.032825854,0.01601353,-0.0008891597,0.041065536,-0.0030124513,-0.08368416,0.24953766
little,0.10071195,-0.33896133,-0.24735986,0.024623366,0.2022533,-0.040592466,-0.088896446,0.08104972,-0.06281464,-0.012000325,-0.07249246,0.10337637,-0.36199212,-0.10672697,-0.04371389,-0.02159133,0.0305466,0.14056495,-0.04221886,-0.043359157,0.0037503152,-0.0025698585,-0.009826743,-0.037703928,-0.051759653,-0.08686091,0.047532942,0.12690754,0.029907802,0.019761272,0.015504643,-0.1677812,0.08146693,0.015225552,0.0062180506,0.0065853763,-0.06342398,-0.04232937,0.0061842087,0.10024884,-0.09115802,-0.08652048,-0.11910234,-0.097052306,0.08415109,-0.0013406149,0.04577897,0.09816739,0.14266029,-0.02124144,-0.11639522,-0.09980588,-0.34480613,-0.0010983152,-0.010757566,-0.050450128,-0.16547151,-0.0226105,-0.030506449,-0.096243694,-0.09060408,0.1393931,-0.19742483,-0.048377335,-0.103815936,-0.06680767,-0.041714575,0.13317026,-0.07563232,-0.097577885,0.23879454,0.005589794,-0.0147768,-0.11846499,0.105808705,0.009645353,-0.08526802,-0.027885668,-0.10760329,-0.11419293,0.11377445,-0.22847757,0.18692829,0.0061213155,0.28509125,-0.0015176248,-0.019800493,0.12619428,0.013052672,-0.08228015,0.10194296,0.04110733,0.07663183,-0.0052019684,-0.07878299,-0.16397285,-0.15042321,-0.05869126,0.09518102,0.09017685
one,0.079793714,0.10716529,0.07062103,-0.03273995,0.051992442,0.13642205,-0.120671235,-0.010459576,-0.0066748085,-0.13330366,0.014763824,-0.000407947,-0.11386622,-0.031871893,-0.008896465,-0.09765669,0.075839244,0.14761691,0.12362655,0.010569562,0.17140055,0.024973422,-0.077487804,-0.04601321,0.09894759,-0.04954776,0.19555993,0.03489185,0.03840597,-0.009347896,0.15917364,0.18356158,-0.034918714,0.020081697,0.0124060055,0.09033401,0.02070444,0.101759784,0.07273812,0.03414578,0.09557621,-0.15980436,0.18191117,-0.106301345,0.1448724,0.15336818,0.121177234,0.015236278,0.04089691,-0.104339086,-0.121661454,0.07036744,-0.094886266,-0.051135436,0.1833084,-0.057073165,-0.080450475,0.036793083,-0.037630133,-0.05239492,0.0669929,-0.062430717,0.19896705,0.0005538014,-0.11227792,-0.06312571,-0.08150566,0.024803272,0.013259474,-0.08212963,-0.009899046,0.045805156,0.0548114,-0.08163839,0.16152878,0.11407832,-0.10760672,0.042403456,-0.10172714,-0.02217831,0.018625705,-0.049157772,-0.016008262,-0.05127608,0.09605657,0.04029611,0.12635353,-0.12291082,-0.02368227,0.036401037,0.066493034,0.0936052,0.0056572463,0.29260272,-0.057287104,0.07739199,0.185103,-0.0013584002,0.097318485,-0.035290193
would,-0.10463041,0.06801021,-0.2252195,0.116939425,0.08829086,-0.048271522,-0.078760006,-0.08973271,0.016241781,0.025531115,0.03199109,-0.0755881,-0.18888876,-0.050027683,-0.08508889,-0.00029637013,-0.08651471,0.05725275,0.10891773,-0.07589389,-0.054183163,-0.06238149,0.11833489,-0.059784755,-0.074094124,8.9141424e-05,0.15295473,-0.07512349,0.091331676,0.028530246,-0.07251571,0.0491905,0.06527861,-0.023141805,-0.0037160227,0.032573942,-0.04814785,0.08634592,-0.007493059,0.048741,0.08326003,-0.09085634,-0.08638887,0.19547296,-0.114721,0.0638787,0.08059139,-0.18194237,-0.00018681097,0.024306426,-0.05087977,-0.09193251,-0.16277626,0.016787106,-0.17659733,-0.0816423,0.07224656,-0.07469619,0.033956714,0.09230917,0.060524855,-0.048105318,0.18854183,-0.005223321,-0.07024246,-0.022498887,0.108133525,0.0024114423,0.037835974,-0.07866752,-0.085593954,-0.0626775,0.07449361,-0.028425993,0.035353117,-0.017933838,-0.06947652,-0.02551678,0.16851625,-0.0769393,0.0611651,-0.031949602,0.05129574,0.023687096,-0.21012765,0.088767305,0.07023898,-0.07460128,0.060471714,-0.02661868,-0.07515854,0.05207088,-0.06847188,0.008071793,0.001199493,0.070462756,-0.050857022,0.034869283,-0.19430918,-0.007610638
know,-0.17228554,0.111656025,0.12169443,0.1571401,0.17089368,-0.018513843,0.05766546,-0.04444818,-0.02977682,0.04419454,-0.01872946,-0.025858007,0.036576428,-0.05439842,0.079787396,-0.10863264,-0.070339136,-0.0013041283,0.12154684,-0.16153958,-0.018991252,-0.1380942,0.06917579,-0.012064281,0.1882454,0.055360135,-0.0815703,0.09652941,-0.073949926,0.056451242,-0.09085528,0.04874289,-0.08643332,-0.12870643,-0.05714104,0.08136163,0.016387995,0.19111966,0.12377711,-0.0005861162,-0.12176237,0.0011834209,-0.10964569,0.00025877406,0.07048785,0.037279803,0.036101457,-0.2167373,0.14736621,-0.14013426,0.015631137,0.1884938,-0.088006005,0.04370421,0.07296086,0.13531874,-0.027437827,-0.13947107,-0.13491696,-0.08303896,0.121743575,-0.13075395,0.07077863,-0.012284914,-0.07253509,-0.13984598,0.001270046,0.112452134,0.11792715,0.010461455,0.0081186425,-0.0367574,0.1785488,-0.047334727,-0.09468926,0.017514883,-0.086572744,-0.055181988,-0.048102103,-0.054576952,-0.15043716,-0.018334772,-0.2272982,-0.21709242,-0.1305906,0.059380777,0.22103208,0.015194733,0.0098291775,0.07221736,-0.042554166,0.05707097,-0.06657948,-0.22805555,-0.027252011,-0.00036443316,-0.21812886,-0.023286168,-0.15754154,-0.19027154
went,0.1757555,0.035061166,-0.11709743,0.092435405,-0.15727039,-0.02198954,0.06115201,-0.0034289109,-0.00939762,0.091702044,-0.0174176,0.05544817,-0.17282474,0.015931835,-0.06449741,0.09125558,-0.21830699,-0.071741596,0.04566242,-0.095403895,-0.08083115,-0.06311568,0.05871345,-0.069984674,0.061617605,-0.12086635,0.110821776,-0.13628137,0.016911015,0.053017452,-0.034134086,-0.11490613,-0.018066298,0.0154257035,0.058183976,-0.0038502156,0.077267796,0.19241849,0.124038525,0.04750613,-0.09561078,-0.108156614,-0.105718106,-0.11014855,0.033683218,0.060923576,0.06626934,-0.16373706,0.09751305,-0.07588084,-0.14199993,0.19228244,0.04516613,-0.07158858,-0.02859484,0.06864177,-0.08014577,-0.03189384,-0.0054202443,0.02485865,0.026216686,-0.16912407,0.1327021,0.058378994,0.013652791,-0.07635336,-0.015047304,0.098739415,0.11803517,0.07447391,0.10845642,0.12763171,0.009564962,-0.0857776,0.03416227,0.083484195,-0.024691297,-0.042632118,-0.021939296,0.03666356,-0.096913934,-0.1701358,0.137678,0.05438417,0.24342307,-0.031095738,-0.02832045,-0.026502931,-0.07457344,-0.031052226,0.059441373,-0.0162513,-0.115678295,0.20494859,0.03216334,0.08748307,0.077557236,0.011902814,0.19203098,0.036030672
like,-0.121141285,-0.26959932,-0.034290023,0.059556782,-0.1407435,0.048728835,-0.13531338,-0.005100477,0.031531394,-0.006060548,-0.049103,-0.057026517,-0.08076312,-0.10584413,-0.055356923,0.047619145,-0.043366995,0.037408344,0.08006669,-0.030844763,-0.15118977,-0.0820111,0.01476479,-0.108262904,-0.066505,-0.020738622,0.14694835,0.0021169507,-0.009719994,0.050698813,0.0072943782,0.11721953,0.029776068,-0.13231207,-0.17705187,0.04140047,0.17927432,0.0070214523,0.063685015,0.0331436,-0.061873935,-0.044414423,-0.018267365,0.44730514,0.05539666,-0.074441664,0.06573403,-0.09822091,-0.07546983,-0.24421503,-0.039386425,0.05788327,0.17396753,0.09223439,0.18983355,0.024987835,0.00862543,-0.09236388,-0.07644747,0.09905863,-0.034299243,-0.14134376,-0.26047063,-0.032956522,-0.012497116,0.066756465,0.10857959,0.025105994,-0.07328985,0.025759418,-0.13008688,-0.00581399,0.12194136,-0.012571452,-0.0747468,0.10310522,0.07863753,0.016243288,-0.069265746,-0.049569834,-0.06273499,0.08929872,-0.109683126,-0.0053125834,-0.105652995,0.101698846,-0.084066465,-0.0042819995,0.07709823,0.07227545,0.04390204,0.012735744,-0.03021869,-0.019191356,0.056779332,0.062492713,-0.091742404,0.14587429,-0.0023182137,-0.09838853
could,-0.11335394,-0.06463188,-0.11278115,0.14520161,0.051086366,-0.0050043324,0.028056707,0.0865714,-0.011844471,0.010577877,-0.10695731,-0.02002232,-0.2941889,-0.10403591,-0.0056191417,-0.1078119,0.06643519,-0.123482525,0.05813172,-0.049818378,-0.025410527,0.035829343,0.09740695,-0.08800151,-0.041287012,-0.06999476,-0.13858934,0.049316585,-0.0985715,-0.06980669,-0.07370275,0.024938483,0.022759486,0.035953537,-0.034935653,-0.020076355,-0.02604917,0.29908252,-0.008525367,-0.0138780745,-0.1615839,-0.10417392,0.10200806,0.29088295,0.012627736,-0.04867068,0.106679805,-0.16016623,0.07059031,-0.064646676,-0.07856605,-0.2290299,0.17386732,0.06391029,-0.1517739,0.0028304225,-0.010446057,-0.069422305,-0.07624363,-0.08452913,-0.03193705,-0.23472518,0.083744735,0.08992083,-0.055828556,-0.0729979,0.02029687,0.09343008,0.022362752,0.004180995,0.18261611,0.059912987,-0.049418513,0.075079374,-0.08515774,0.039041135,0.06483434,-0.09793105,-0.06574765,-0.13759701,0.11127638,0.19295675,-0.06528201,-0.11914623,0.271013,0.07326295,0.15279037,-0.04812996,0.0881835,-0.09070272,-0.07572369,0.042577807,-0.1306257,-0.10936438,0.020578854,0.044015475,-0.16431308,0.010229956,0.05619192,-0.014512898
time,-0.10436371,-0.08066444,0.053789932,0.017888008,0.0833252,-0.054953657,0.051560983,0.12903295,-0.018533545,0.11987048,-0.014695368,0.062431015,-0.09349469,-0.15730636,0.02442395,0.021144943,-0.13478015,-0.09629711,-0.1092933,0.0028383664,-0.0756628,-0.0784157,-0.032201804,-0.041844994,0.059362307,0.010144449,-0.22155076,-0.15977778,0.0018213422,-0.1034751,-0.08866938,-0.1879471,-0.020796582,0.22505829,0.060303744,0.051673196,-0.01745435,0.13574009,0.050181918,0.03132981,0.17184761,0.031445637,0.0991778,0.09447401,-0.086096846,0.03225703,0.05426786,-0.103774905,0.17142561,-0.22628932,-0.05761822,-0.08477695,0.060531475,0.03717363,0.13139245,-0.14061809,-0.0080102775,-0.017470082,-0.07113426,0.120965354,-0.04055075,-0.23070167,-0.027821118,0.0907737,-0.023332797,-0.0025484427,0.097034566,0.12226491,0.09867532,-0.09469979,0.05039497,0.048380703,0.067047805,-0.021816751,0.04538749,-0.064576104,-0.030578693,0.093511395,-0.051540606,-0.11643418,0.020929787,0.0017193333,-0.118195444,-0.102450356,-0.19663395,0.08146802,0.14211491,0.0033010235,0.038288645,-0.011234976,0.0017661012,0.04047668,-0.11605388,-0.04506409,-0.04506217,0.015794687,0.042996667,-0.061374776,-0.094822995,-0.087385446
