id,word,frequency,pos
0,the,23135851162,90
1,of,13151942776,85
2,and,12997637966,89
3,to,12136980858,85
4,a,9081174698,90
5,in,8469404971,92
6,for,5933321709,85
7,is,4705743816,87
8,on,3750423199,85
9,that,3400031103,90
10,by,3350048871,85
11,this,3228469771,90
12,with,3183110675,85
13,i,3086225277,95
14,you,2996181025,95
15,it,2813163874,95
16,not,2633487141,94
17,or,2590739907,89
18,be,2398724162,87
19,are,2393614870,87
20,from,2275595356,85
21,at,2272272772,85
22,as,2247431740,98
23,your,2062066547,90
24,all,2022459848,90
25,have,1564202750,87
26,new,1551258643,86
27,more,1544771673,86
28,an,1518266684,90
29,was,1483428678,87
30,we,1390661912,95
31,will,1356293641,100
32,home,1276852170,86
33,can,1242323499,100
34,us,1229112622,95
35,about,1226734006,85
36,if,1134987907,98
37,page,1082121730,92
38,my,1059793441,90
39,has,1046319984,87
40,search,1024093118,92
41,free,1014107316,84
42,but,999899654,89
43,our,998757982,90
44,one,993536631,93
45,other,978481319,84
46,do,950751722,87
47,no,937112320,90
48,information,932594387,92
49,time,908705570,92
50,they,883223816,95
51,site,844310242,100
52,he,842847219,95
53,up,829969374,85
54,may,827822032,100
55,what,812395582,95
56,which,810514085,90
57,their,782849411,90
58,news,755424983,92
59,out,741601852,85
60,use,719980257,100
61,any,710741293,90
62,there,701170205,86
63,see,681410380,100
64,only,661844114,86
65,so,661809559,86
66,his,660177731,90
67,when,650621178,86
68,contact,645824184,92
69,here,639711198,86
70,business,637134177,92
71,who,630927278,95
72,web,619571575,92
73,also,616829742,86
74,now,611387736,86
75,help,611054034,100
76,get,605984508,87
77,pm,604577485,92
78,view,602279334,100
79,online,601317059,96
80,c,596623239,96
81,e,593086170,96
82,first,578161543,84
83,am,576436203,87
84,been,575019382,87
85,would,572644147,100
86,how,571848080,86
87,were,570699558,87
88,me,566617666,95
89,s,565123981,92
90,services,562206804,92
91,some,548829454,90
92,these,541003982,90
93,click,536746424,100
94,its,525627757,90
95,like,520585287,84
96,service,519537222,92
97,x,508609523,99
98,than,502609275,98
99,find,502043038,100
100,price,501651226,92
101,date,488967374,92
102,back,488024109,86
103,top,484213771,84
104,people,480303376,92
105,had,480232730,87
106,list,472590641,92
